"regunit","region","trstprl","trstlgl","trstplc","trstplt","trstprt","freehms","hmsfmlsh","hmsacld","eqwrkbg","eqpolbg","eqmgmbg","eqpaybg"
2,"AT31",6,9,10,5,5,2,4,3,6,6,6,6
2,"AT22",6,6,4,1,0,1,5,1,6,5,5,5
2,"AT33",7,5,8,4,4,1,5,1,5,6,6,6
2,"AT31",5,6,9,3,3,2,4,3,5,5,5,6
2,"AT32",6,8,8,5,5,2,4,2,6,6,6,6
2,"AT33",3,5,7,5,5,2,4,2,5,5,5,6
2,"AT12",6,5,8,4,5,2,4,4,4,6,5,6
2,"AT12",9,9,9,7,6,1,5,2,5,6,6,6
2,"AT11",6,7,8,3,2,2,5,3,6,3,2,6
2,"AT31",8,8,10,8,8,2,3,3,3,5,6,6
2,"AT13",6,8,8,6,6,2,5,2,5,5,5,6
2,"AT31",6,9,9,3,3,1,4,4,5,5,5,6
2,"AT31",6,4,4,9,9,2,4,2,3,6,6,6
2,"AT31",3,5,7,0,0,2,3,3,5,6,6,6
2,"AT32",7,9,9,8,7,3,2,4,4,3,4,4
2,"AT13",2,6,7,2,2,1,5,1,6,6,6,6
2,"AT22",7,9,9,6,6,1,5,1,5,6,6,6
2,"AT33",2,4,5,5,5,2,4,2,3,4,5,6
2,"AT12",4,5,6,1,1,1,7,1,6,6,6,6
2,"AT31",5,7,5,3,3,3,8,4,4,3,8,5
2,"AT33",7,7,8,8,8,1,5,3,4,4,4,6
2,"AT33",4,4,6,6,6,1,3,2,2,4,4,6
2,"AT13",4,5,5,2,2,1,4,1,3,3,3,3
2,"AT34",3,2,2,2,2,4,3,4,2,1,2,2
2,"AT12",5,5,8,4,4,2,5,8,6,6,6,6
2,"AT22",0,5,7,0,0,1,5,1,3,5,6,6
2,"AT12",5,7,8,4,2,2,5,3,5,3,3,5
2,"AT31",2,6,8,0,2,2,4,3,3,6,6,6
2,"AT22",5,8,7,3,2,1,5,2,4,5,5,6
2,"AT22",2,4,3,1,2,2,5,2,3,3,3,3
2,"AT32",0,6,6,0,0,1,4,1,2,5,5,3
2,"AT13",5,9,9,3,3,5,5,2,6,3,3,4
2,"AT11",8,7,7,8,7,3,3,3,6,6,6,6
2,"AT13",5,6,7,4,4,2,4,2,6,5,8,6
2,"AT13",4,8,8,5,5,1,5,2,6,6,6,6
2,"AT32",8,8,8,8,8,2,4,2,6,6,6,6
2,"AT13",8,9,9,5,5,1,5,2,4,6,6,6
2,"AT34",5,5,7,5,5,1,1,2,2,2,2,5
2,"AT22",7,6,7,5,3,1,5,2,2,6,5,6
2,"AT31",4,6,8,4,3,2,2,4,1,4,4,6
2,"AT31",0,8,8,1,1,1,5,2,6,2,2,3
2,"AT33",3,88,88,5,5,2,2,2,6,6,6,6
2,"AT12",2,3,3,0,0,1,5,1,3,3,3,6
2,"AT11",9,10,9,8,9,1,5,1,6,4,4,5
2,"AT13",8,8,8,5,4,1,4,1,4,4,5,5
2,"AT31",5,6,7,2,2,2,3,3,5,4,4,5
2,"AT12",5,5,7,3,4,1,5,2,6,6,6,6
2,"AT21",4,7,7,2,2,2,5,1,3,3,3,3
2,"AT13",6,7,7,5,6,2,2,2,2,2,2,2
2,"AT33",4,4,4,4,4,7,4,2,3,3,3,2
2,"AT21",8,10,10,8,7,1,2,4,6,6,6,6
2,"AT34",7,10,8,6,5,2,5,3,5,6,6,5
2,"AT12",6,6,6,6,6,1,5,1,6,6,6,6
2,"AT12",3,5,5,1,1,2,5,1,3,4,4,4
2,"AT21",77,5,7,77,77,7,7,5,2,7,3,4
2,"AT21",5,5,8,2,3,4,2,3,4,3,3,3
2,"AT12",9,10,10,9,9,3,3,3,3,5,4,6
2,"AT11",10,10,10,10,10,5,1,5,4,5,5,5
2,"AT13",7,8,8,5,5,2,4,2,6,8,4,5
2,"AT13",4,4,4,1,1,1,5,2,4,6,5,6
2,"AT12",6,5,7,3,4,2,2,4,3,2,2,3
2,"AT33",2,2,7,2,2,4,3,3,2,2,2,2
2,"AT13",4,6,6,4,5,2,2,8,1,2,3,5
2,"AT31",5,8,8,2,2,2,4,3,6,5,5,5
2,"AT34",7,9,9,2,3,5,1,5,3,5,3,4
2,"AT31",9,10,10,6,6,2,3,2,5,5,5,3
2,"AT12",5,7,8,5,3,2,5,3,6,3,3,5
2,"AT13",5,8,8,4,4,2,4,2,6,6,6,6
2,"AT34",8,7,7,6,6,2,4,3,4,6,6,5
2,"AT13",7,5,5,77,77,2,4,3,2,5,4,3
2,"AT12",5,8,8,4,4,2,5,2,1,8,8,5
2,"AT31",2,10,0,0,0,1,4,1,4,6,6,6
2,"AT12",4,5,9,2,3,2,8,2,5,6,6,6
2,"AT31",6,8,10,5,5,1,4,1,6,6,6,6
2,"AT12",7,7,8,6,7,2,4,4,5,5,4,6
2,"AT12",5,6,9,4,5,4,2,4,4,5,5,5
2,"AT21",7,8,8,5,5,7,7,7,0,2,1,1
2,"AT13",4,6,7,3,2,2,5,2,2,1,3,5
2,"AT12",3,3,5,1,1,2,5,2,3,5,6,6
2,"AT33",7,10,6,2,1,1,5,1,4,5,4,4
2,"AT31",4,7,8,2,2,2,5,2,8,5,5,6
2,"AT32",6,8,8,0,0,1,5,1,6,6,6,6
2,"AT12",6,8,9,5,3,2,5,2,6,4,3,5
2,"AT22",6,10,7,5,5,2,5,4,3,5,5,6
2,"AT31",3,3,3,2,2,2,4,8,6,5,5,6
2,"AT12",6,5,8,4,5,2,5,2,5,6,6,5
2,"AT13",7,10,10,7,7,2,2,5,4,4,4,5
2,"AT12",4,6,6,2,2,2,5,1,2,3,3,5
2,"AT34",3,5,5,1,1,1,3,4,2,2,3,6
2,"AT22",8,9,9,6,5,1,5,2,4,4,4,4
2,"AT33",7,8,9,6,6,2,5,2,3,4,4,4
2,"AT21",4,6,4,1,1,1,5,4,0,4,3,3
2,"AT11",4,7,8,5,3,2,5,3,5,3,3,5
2,"AT34",2,7,7,2,2,5,2,5,4,3,3,3
2,"AT33",7,7,3,3,3,1,1,3,2,6,6,6
2,"AT13",6,7,7,5,5,1,5,1,3,6,6,6
