"lonely_obs","male","agea","mnactic","domicil","hhmmb","eduyrs","trust_other","health","netustm","aesfdrk","hlthhmp","hincfel"
"0",1,65,"Retired","town",2,12,1.5,3,180,2,0,1
"1",0,21,"Education","bigcity",1,14,1.1,2,570,3,1,2
"0",0,53,"PaidWork","town",3,16,2.3,1,30,3,0,1
"1",0,78,"Retired","bigcity",1,14,1.8,3,0,3,0,2
"0",1,64,"Retired","village",2,12,1.7,2,120,1,0,2
"0",0,59,"PaidWork","village",2,16,2,1,120,2,0,1
"1",0,77,"Retired","town",1,8,2.2,2,0,3,0,2
"0",0,69,"Retired","village",2,17,2.4,2,240,2,1,1
"0",0,52,"PaidWork","village",3,12,2.2,2,180,2,0,2
"0",0,75,"Retired","village",2,9,1,2,0,2,1,2
"1",0,44,"PaidWork","bigcity",1,17,1.6,2,120,2,0,2
"1",1,49,"Unemployed","town",2,14,1.9,2,60,2,0,2
"0",0,63,"PaidWork","bigcity",2,12,1.9,2,120,1,0,2
"0",0,67,"Retired","bigcity",1,11,2,1,180,2,0,1
"0",1,41,"PaidWork","village",4,13,2.4,1,360,1,0,1
"0",0,82,"Housework","town",2,12,1.4,2,0,1,0,1
"0",1,26,"Unemployed","village",2,11,0.6,1,600,1,0,1
"0",1,42,"Unemployed","suburb",1,8,1.5,2,180,3,0,4
"0",0,85,"Retired","village",1,14,1.9,2,0,1,0,1
"0",1,72,"Housework","countryside",2,11,1.8,2,45,1,0,1
"0",1,31,"PaidWork","bigcity",1,11,1.5,1,180,2,0,3
"0",1,47,"PaidWork","village",4,14,1.4,1,150,2,0,1
"0",0,50,"PaidWork","town",5,11,2.1,1,180,2,0,2
"0",0,60,"Retired","bigcity",1,12,2.6,3,330,2,1,1
"0",0,43,"PaidWork","village",3,16,2.2,2,210,2,0,2
"0",0,41,"PaidWork","village",3,12,1.4,2,90,2,0,2
"0",0,35,"PaidWork","suburb",3,12,2.3,1,150,1,0,2
"0",0,49,"PaidWork","village",1,9,1.2,3,180,1,1,2
"0",0,36,"PaidWork","village",3,15,1.8,2,180,2,0,2
"1",1,46,"PaidWork","bigcity",1,18,2.6,1,60,2,0,2
"0",0,81,"Housework","village",2,9,1.8,1,0,1,0,2
"0",0,57,"PaidWork","bigcity",1,11,2.4,2,20,2,0,2
"0",0,67,"Retired","bigcity",1,12,2.8,3,120,1,1,2
"0",0,38,"PaidWork","town",3,12,3,2,120,2,0,1
"0",0,42,"PaidWork","bigcity",2,11,2.1,2,180,2,0,1
"0",0,59,"PaidWork","countryside",2,9,2.5,1,60,3,0,2
"0",1,77,"Retired","town",2,8,2,3,0,1,0,1
"0",1,58,"PaidWork","village",2,12,0.8,2,0,1,0,2
"1",0,38,"PaidWork","village",1,12,1.6,3,60,2,0,3
"0",0,79,"Retired","bigcity",1,12,1.9,2,0,1,0,2
"0",0,25,"PaidWork","town",2,11,2.1,1,300,2,0,3
"0",0,34,"PaidWork","village",2,12,2.2,1,120,1,0,1
"1",1,74,"Retired","bigcity",1,17,2.3,2,180,1,0,2
"0",1,74,"Retired","bigcity",1,9,1.3,3,0,2,0,2
"0",0,36,"PaidWork","village",1,15,2.1,1,30,1,0,2
"0",1,28,"PaidWork","town",2,12,1.4,2,480,2,0,3
"1",1,65,"Retired","bigcity",1,11,2.3,3,90,2,1,3
"0",0,42,"PaidWork","village",3,9,1.4,2,0,2,0,2
"1",1,60,"Retired","town",4,20,1.9,4,0,1,1,3
"0",1,60,"PaidWork","village",2,12,2.2,2,300,1,0,2
"0",0,16,"Education","village",3,10,1.7,1,180,2,0,2
"0",1,28,"PaidWork","town",1,14,1.9,1,300,1,0,2
"0",0,71,"Retired","village",2,12,1.5,1,0,2,0,1
"0",0,20,"PaidWork","village",1,12,1.2,3,360,1,0,2
"1",0,80,"Retired","village",1,9,2.3,3,0,2,1,2
"1",0,75,"Retired","town",1,9,1.5,2,0,1,0,2
"0",1,51,"PaidWork","bigcity",1,15,1.6,2,30,1,0,2
"0",0,87,"Retired","bigcity",2,11,1.9,3,60,3,1,2
"0",0,57,"PaidWork","village",3,15,2.1,2,120,1,0,2
"1",1,76,"Retired","town",2,11,1.2,3,110,2,1,1
"1",1,61,"PaidWork","bigcity",1,11,1.7,3,90,3,0,2
"0",0,43,"PaidWork","town",3,13,1.3,2,360,1,0,2
"0",0,43,"PaidWork","village",1,17,2.7,1,90,1,0,2
"0",1,51,"PaidWork","village",3,12,2.2,2,120,2,0,3
"0",1,69,"Retired","bigcity",3,13,2.3,2,180,2,0,1
"0",0,47,"PaidWork","village",3,15,2.3,2,165,1,0,1
"0",1,89,"Retired","bigcity",2,12,1,3,0,2,1,1
"0",1,72,"Retired","town",2,14,2.3,2,150,1,0,2
"1",0,74,"Retired","village",2,18,2.7,3,120,1,0,2
"0",0,68,"Retired","village",2,11,2.1,1,90,2,0,1
"1",0,36,"PaidWork","suburb",3,13,2.4,1,180,1,0,1
"0",1,87,"Retired","village",2,15,2,1,180,2,0,1
"0",0,74,"Retired","village",2,8,2.2,2,0,2,1,2
"0",1,24,"PaidWork","bigcity",1,11,2.2,1,180,1,0,3
"0",1,59,"PaidWork","suburb",2,12,2.2,3,120,2,1,2
"0",1,32,"PaidWork","village",1,13,2.1,1,120,2,0,3
"0",0,47,"PaidWork","bigcity",1,13,2.3,2,180,1,0,2
"0",1,45,"PaidWork","town",1,12,1.6,1,720,1,0,1
"0",1,44,"PaidWork","village",4,13,2.3,2,300,2,0,2
"0",1,68,"Retired","village",1,13,1.4,2,60,3,0,3
"0",1,20,"Unemployed","town",1,9,1.4,2,300,2,0,3
"0",1,33,"PaidWork","countryside",5,11,2,1,30,1,0,2
"0",1,27,"PaidWork","bigcity",2,12,2,1,120,2,0,2
"0",1,28,"PaidWork","town",1,11,2,1,240,1,0,3
"1",1,73,"Retired","village",3,12,1.3,2,60,1,0,1
"0",1,62,"PaidWork","bigcity",1,12,2.4,2,150,1,0,1
"0",1,58,"PaidWork","village",2,12,2.4,2,90,1,0,2
"0",0,90,"PaidWork","town",1,16,2.2,1,480,2,0,1
"0",1,38,"PaidWork","town",4,13,2.2,2,510,2,0,3
"1",0,85,"Retired","town",1,9,0.7,4,0,3,1,3
"1",0,74,"Retired","town",2,11,1.1,2,60,1,0,1
"0",1,42,"PaidWork","suburb",4,20,2.4,2,0,1,0,1
"1",0,51,"PaidWork","town",1,18,1.5,3,300,2,1,3
"0",1,76,"Retired","village",2,11,1.7,2,150,1,1,2
"0",1,28,"Housework","bigcity",2,12,1.2,3,930,3,1,3
"0",1,18,"PaidWork","village",3,11,2.6,1,60,1,1,1
"0",1,64,"Retired","bigcity",1,12,0.9,5,0,2,1,3
"1",1,59,"PaidWork","town",1,9,1.9,2,0,1,0,2
"0",0,49,"PaidWork","town",3,12,2,2,180,2,0,2
"0",1,70,"PaidWork","bigcity",1,13,2.3,1,120,2,0,2
"1",0,71,"Retired","town",1,12,2.4,3,60,2,1,2
"1",1,58,"sickDisabled","countryside",1,17,1.8,4,0,1,1,3
"0",1,83,"Retired","bigcity",2,14,1.9,3,60,2,1,1
"0",0,74,"Retired","village",1,15,2.8,2,0,1,0,1
"0",0,86,"Retired","bigcity",1,18,2.7,2,180,2,1,2
"1",0,26,"PaidWork","village",2,11,1.8,1,60,2,0,3
"0",1,52,"PaidWork","town",3,12,2.3,3,120,2,0,2
"0",1,63,"PaidWork","bigcity",4,13,2,1,60,2,0,1
"0",0,61,"Retired","village",1,12,1.7,1,5,1,0,2
"0",0,47,"PaidWork","bigcity",2,12,2.7,2,60,2,0,2
"0",1,70,"Retired","suburb",2,9,2,1,0,1,0,2
"1",0,67,"Retired","bigcity",1,19,2,2,120,2,1,1
"0",1,68,"Retired","village",2,11,2.1,4,180,2,1,1
"0",0,50,"PaidWork","town",3,12,2.1,2,60,1,0,1
"0",1,62,"PaidWork","town",1,12,2,1,360,2,1,2
"0",0,64,"Retired","village",1,12,2,1,60,1,0,1
"0",1,39,"PaidWork","village",3,18,2.2,2,180,2,0,1
"1",0,43,"PaidWork","bigcity",1,11,1.5,1,150,2,0,1
"0",1,47,"PaidWork","town",4,13,2.4,2,90,1,0,2
"0",0,30,"PaidWork","town",2,11,2,1,180,1,0,2
"0",0,77,"Retired","town",1,11,1.1,1,30,2,1,1
"0",0,48,"sickDisabled","village",1,15,2,4,0,2,1,2
"0",0,35,"PaidWork","bigcity",2,17,1.6,4,600,2,1,2
"0",1,48,"PaidWork","countryside",4,14,2.3,3,180,2,1,1
"0",1,53,"PaidWork","suburb",3,17,2.1,2,45,1,1,2
"0",1,54,"PaidWork","town",2,14,1.3,2,270,1,0,1
"0",1,50,"PaidWork","village",3,12,2.5,2,150,2,1,3
"0",0,42,"PaidWork","town",2,12,1.9,1,480,2,0,2
"0",1,46,"PaidWork","town",2,9,1.5,2,90,1,0,2
"1",1,53,"PaidWork","town",2,12,0.7,2,165,3,0,1
"0",0,33,"PaidWork","town",2,9,1.4,2,120,3,0,2
"0",1,23,"PaidWork","suburb",2,13,1.8,1,390,2,0,1
"0",1,73,"Retired","village",1,8,0.7,3,0,1,1,2
"0",1,55,"PaidWork","bigcity",1,10,1.7,3,30,2,0,2
"1",0,64,"Retired","bigcity",1,12,1.8,2,90,2,0,2
"0",0,76,"Retired","bigcity",1,14,2.4,2,60,1,1,1
"0",1,57,"PaidWork","town",1,14,2.4,1,180,2,0,1
"0",1,69,"Retired","village",2,13,2.6,1,0,1,0,1
"0",0,47,"PaidWork","town",2,14,1.9,1,90,2,0,2
"0",0,57,"PaidWork","bigcity",2,16,2.1,1,240,2,0,1
"0",0,57,"Unemployed","village",2,12,2.4,2,120,1,0,1
"0",1,90,"Retired","suburb",1,10,1.5,3,0,1,1,2
"1",1,44,"PaidWork","village",1,16,2.6,2,60,2,0,1
"0",0,73,"Retired","bigcity",1,20,1.2,2,0,2,0,1
"1",0,78,"Retired","town",1,8,2.3,3,0,2,0,2
"0",0,72,"Retired","bigcity",2,9,0.5,1,180,3,0,2
"0",0,54,"PaidWork","village",7,20,1.1,3,720,1,1,2
"1",0,42,"PaidWork","bigcity",3,9,1.1,3,120,2,0,2
"1",1,17,"Education","town",2,11,2.1,1,240,1,0,2
"0",0,59,"PaidWork","town",2,12,2.4,2,60,1,0,2
"1",0,81,"Retired","village",1,8,0.9,4,0,2,1,2
"0",0,50,"PaidWork","bigcity",2,13,1.9,2,120,1,0,1
"0",1,45,"PaidWork","village",2,19,1.3,1,480,2,0,2
"0",1,62,"Retired","town",2,9,1.8,2,0,2,0,2
"0",0,71,"Retired","village",1,12,1.5,2,30,2,0,2
"0",1,58,"PaidWork","village",4,18,2,2,190,2,0,1
"0",1,53,"PaidWork","town",1,15,1.7,1,90,1,0,2
"0",0,65,"Retired","village",2,12,1.5,2,30,2,0,1
"0",0,29,"PaidWork","suburb",1,11,1.5,1,30,2,0,2
"0",0,29,"Other","village",2,10,1.6,1,150,1,0,3
"0",0,67,"Retired","village",2,11,1.9,3,90,2,1,2
"1",1,69,"Retired","village",1,12,2.2,2,120,2,0,2
"0",1,25,"PaidWork","suburb",1,12,1.8,3,360,2,0,2
"0",1,44,"PaidWork","town",4,13,2.3,2,270,2,0,2
"1",0,70,"Retired","town",1,11,2.4,2,60,1,0,2
"0",0,61,"Retired","bigcity",1,6,1.8,4,0,3,1,3
"1",0,64,"Retired","village",1,9,1.5,3,120,2,1,4
"1",1,56,"PaidWork","village",3,16,2.7,1,120,1,0,1
"0",1,71,"Retired","town",1,11,1.4,3,30,2,0,2
"0",1,74,"Retired","bigcity",2,12,1.4,2,90,2,0,1
"0",0,19,"Unemployed","town",5,10,0.9,2,360,3,0,1
"0",0,39,"PaidWork","town",2,11,2.2,2,120,2,0,1
"1",1,69,"Retired","bigcity",1,12,2.5,1,180,1,0,1
"1",1,81,"Retired","countryside",1,8,2.2,3,0,2,1,2
"1",0,80,"Retired","town",1,15,2.4,3,60,1,1,2
"0",0,34,"Education","village",2,15,1.5,3,180,2,0,3
"1",0,81,"Retired","village",1,11,2,2,0,2,1,1
"0",1,57,"PaidWork","town",2,11,1.8,1,120,1,0,2
"0",0,30,"PaidWork","town",1,14,2.1,1,300,2,0,2
"0",0,70,"Retired","bigcity",1,16,1.9,3,90,2,1,2
"0",0,77,"Retired","village",2,9,1.5,3,15,1,0,1
"0",0,66,"Retired","bigcity",1,12,2.3,1,150,2,0,2
"0",1,54,"PaidWork","village",3,12,1.1,2,300,1,0,2
"0",1,68,"Retired","village",2,9,0.3,1,120,1,0,3
"0",0,70,"Retired","bigcity",1,14,2.1,3,60,2,1,2
"0",0,53,"PaidWork","village",1,12,1.9,2,0,1,0,2
"0",1,52,"PaidWork","town",3,13,2.3,2,180,2,0,2
"0",1,76,"Retired","bigcity",2,15,2.2,2,120,3,1,2
"0",0,77,"Retired","bigcity",1,14,2.1,2,210,3,1,1
"1",0,40,"PaidWork","bigcity",1,9,2.1,2,180,2,0,3
"0",0,50,"PaidWork","village",2,13,1.8,1,300,1,0,1
"0",0,60,"PaidWork","village",1,12,0.8,2,0,3,0,2
"0",0,73,"Retired","town",2,15,1.5,2,85,2,0,1
"0",1,65,"Retired","village",2,12,1.5,3,150,2,1,2
"0",1,58,"PaidWork","village",3,17,2.4,2,180,2,0,2
"0",1,89,"Retired","bigcity",1,13,2.4,1,0,2,0,1
"0",1,48,"PaidWork","town",1,14,1.6,1,285,2,0,1
"0",0,84,"Retired","village",1,11,1.2,3,0,2,1,2
"0",0,41,"Retired","village",2,12,2.3,3,120,3,0,2
"0",0,86,"Housework","town",2,9,2,3,0,2,1,2
"0",0,60,"Retired","bigcity",2,12,1.7,3,60,2,1,2
"0",1,61,"Retired","village",2,12,2.9,2,0,2,0,2
"0",1,51,"PaidWork","town",1,9,2.2,2,120,2,0,1
"0",1,36,"PaidWork","village",4,12,2.4,1,600,1,0,1
"1",0,40,"PaidWork","village",2,22,0.7,1,120,1,0,3
"0",1,75,"Retired","suburb",2,12,2.1,2,300,2,0,1
"0",0,90,"Retired","suburb",1,9,2.3,3,0,3,1,2
"0",1,65,"Retired","town",2,20,2.7,1,60,2,0,1
"0",0,47,"Housework","village",5,12,2,1,180,4,0,1
"0",0,26,"Education","bigcity",1,15,2.1,2,300,3,1,3
"1",1,35,"PaidWork","bigcity",1,12,2.1,2,45,2,0,2
"0",0,52,"PaidWork","town",1,13,1.2,2,90,2,0,1
"0",0,28,"PaidWork","village",2,11,2.5,1,120,1,0,1
"0",1,67,"Retired","town",1,12,2.5,4,300,1,1,2
"1",0,63,"Retired","bigcity",1,18,0.8,3,0,1,1,3
"0",0,81,"Retired","town",2,10,1.7,3,0,2,1,2
"0",1,64,"PaidWork","bigcity",1,12,2.5,2,60,1,0,2
"0",0,51,"PaidWork","town",3,12,1.7,2,210,3,0,2
"0",0,66,"Retired","village",2,16,1.9,3,180,2,0,1
"0",0,17,"Education","town",2,11,2.5,1,300,1,0,1
"0",1,18,"Education","bigcity",2,11,1.5,1,300,1,0,1
"0",1,52,"PaidWork","village",2,12,1.7,1,120,1,0,1
"0",0,76,"Retired","bigcity",1,11,2.2,2,60,3,0,2
"0",0,22,"PaidWork","town",1,14,1.2,2,210,2,0,2
"0",1,19,"Education","bigcity",1,12,1,1,720,2,0,2
"0",1,51,"PaidWork","town",3,12,1.9,3,180,2,1,3
"1",0,58,"PaidWork","village",2,9,1.7,3,30,4,0,3
"0",0,41,"PaidWork","village",4,12,2.2,2,240,3,0,2
"0",0,80,"Retired","town",1,9,2.3,3,0,1,0,2
"0",1,47,"PaidWork","village",4,14,1.2,1,135,2,0,1
"0",0,52,"PaidWork","bigcity",2,12,0.3,1,300,2,0,1
"0",1,73,"Retired","town",1,11,1.8,2,300,1,0,2
"0",1,53,"PaidWork","village",1,13,2.6,1,60,1,0,1
"0",0,61,"Retired","village",2,11,2.4,2,30,2,0,1
"0",1,77,"Retired","town",2,12,1.8,3,60,2,0,2
"0",1,33,"PaidWork","village",2,12,3,1,180,1,0,1
"1",0,44,"PaidWork","village",3,12,2.1,1,90,1,0,1
"0",0,64,"Retired","town",2,13,2.3,1,60,1,0,2
"0",0,56,"PaidWork","bigcity",1,12,1.6,3,780,1,0,1
"0",1,32,"PaidWork","suburb",3,12,2.3,2,240,1,0,2
"0",0,54,"PaidWork","town",2,12,2.1,2,120,2,0,2
"1",0,52,"PaidWork","town",1,12,1.2,2,195,3,0,2
"1",0,35,"PaidWork","bigcity",2,18,2.2,1,270,1,0,1
"0",1,69,"Retired","town",2,12,2.5,3,120,2,1,3
"0",1,48,"PaidWork","suburb",5,40,3,1,180,1,0,2
"0",0,26,"PaidWork","bigcity",1,13,1.5,1,180,1,0,2
"1",0,85,"Retired","village",2,9,1.5,3,0,3,1,2
"0",0,57,"PaidWork","village",3,14,0.6,3,0,1,1,2
"0",0,69,"Housework","bigcity",2,25,2.1,3,150,2,1,2
"0",0,83,"Retired","village",2,8,1.2,4,0,4,1,2
"0",1,66,"PaidWork","village",2,14,2.2,2,240,1,0,1
"0",1,71,"Retired","village",1,12,1.8,2,0,1,0,1
"0",1,82,"Retired","village",2,13,1.1,2,195,2,1,1
"0",1,85,"Retired","village",5,8,1.4,3,0,1,1,3
"1",0,74,"Retired","village",1,12,2.1,2,0,2,0,2
"0",0,60,"Retired","town",2,12,2.4,1,90,2,0,1
"0",0,55,"PaidWork","town",2,12,2.4,2,60,2,0,1
"0",1,57,"PaidWork","bigcity",2,16,2.2,1,180,1,0,1
"0",1,52,"PaidWork","town",1,23,1.3,2,420,1,0,2
"1",1,49,"PaidWork","village",1,12,1.9,3,0,2,1,3
"0",0,41,"Housework","village",4,16,1.9,1,15,2,0,1
"0",1,76,"Retired","town",2,14,0.8,2,60,1,0,2
"0",1,41,"PaidWork","bigcity",2,21,2,2,300,2,0,1
"0",0,85,"Retired","bigcity",1,12,2,3,0,2,1,2
"1",1,21,"Unemployed","bigcity",1,13,1.1,1,180,3,0,3
"0",1,76,"Retired","town",1,11,3,2,0,1,1,1
"1",0,88,"Retired","village",1,8,1.7,3,0,3,1,2
"0",0,76,"Retired","village",1,10,2,3,0,2,1,2
"0",1,33,"PaidWork","bigcity",2,12,2.3,1,240,2,0,2
"1",0,66,"Retired","bigcity",1,19,2.2,2,90,2,0,1
"0",1,84,"Retired","bigcity",1,11,1.8,4,0,2,1,2
"0",0,89,"Retired","town",1,10,2.3,2,0,3,0,1
"1",0,33,"PaidWork","bigcity",1,16,1.7,1,120,2,0,1
"0",0,28,"PaidWork","town",2,10,1.8,1,480,2,0,2
"0",1,51,"PaidWork","town",2,11,1.9,1,300,1,0,2
"0",1,37,"PaidWork","village",1,13,1.9,1,240,2,0,2
"0",1,24,"PaidWork","town",1,9,2,2,180,1,0,2
"0",0,76,"Retired","village",1,8,2.4,3,0,3,0,2
"0",1,69,"Retired","town",2,12,2.4,2,70,2,0,2
"0",1,82,"Retired","village",1,8,0.9,4,0,3,1,2
"0",0,64,"Retired","village",2,12,2.4,1,60,1,0,1
"1",0,83,"Retired","village",1,8,0.9,3,0,3,1,2
"0",0,25,"Unemployed","bigcity",3,10,2.8,2,150,3,0,3
"0",0,60,"Retired","village",1,10,2.1,1,0,2,0,2
"0",0,74,"Retired","village",1,4,0.8,3,60,2,1,2
"1",0,31,"PaidWork","bigcity",3,12,2.2,2,60,1,0,1
"0",1,44,"PaidWork","village",3,14,1.8,2,45,2,0,1
"0",0,52,"PaidWork","bigcity",1,13,2.1,1,420,1,0,1
"0",0,75,"Retired","bigcity",2,11,2.2,2,60,1,0,2
"0",1,20,"Education","town",2,14,2.7,1,300,1,0,2
"1",0,36,"Unemployed","town",1,14,1.2,2,240,1,1,1
"0",1,44,"PaidWork","town",2,13,1.4,1,360,1,0,2
"0",0,41,"PaidWork","town",4,13,2.3,2,240,3,0,2
"1",1,75,"Retired","bigcity",1,12,0.1,5,45,2,1,1
"0",0,48,"PaidWork","town",2,11,1.6,2,180,1,0,3
"0",0,30,"PaidWork","town",2,12,1.8,1,360,2,0,2
"1",0,58,"PaidWork","village",1,11,1.7,2,0,2,0,2
"0",1,72,"Retired","bigcity",1,12,2.3,3,0,2,1,2
"0",0,24,"Education","bigcity",1,18,1.8,2,360,3,0,3
"0",0,46,"PaidWork","village",1,13,1.4,2,90,1,0,1
"0",0,22,"PaidWork","bigcity",1,11,2.2,1,180,1,0,3
"1",0,20,"PaidWork","bigcity",1,14,1.9,1,330,2,0,2
"1",1,23,"PaidWork","suburb",1,9,1.7,2,420,2,0,2
"1",0,24,"PaidWork","bigcity",1,12,0.9,2,120,1,0,2
"0",0,72,"Retired","suburb",2,8,1.5,2,0,3,1,2
"0",0,57,"PaidWork","village",1,19,1.3,2,165,2,0,1
"0",1,89,"Retired","village",2,10,2.1,3,0,1,1,2
"0",0,77,"Retired","suburb",1,12,2,3,0,3,1,1
"1",0,90,"Retired","town",1,11,1.4,3,0,1,1,1
"0",0,79,"Retired","village",1,8,1.5,2,0,2,0,2
"0",0,26,"Unemployed","village",2,12,1.5,2,420,2,0,3
"0",0,40,"PaidWork","village",2,12,2.3,1,120,1,0,2
"0",0,28,"PaidWork","bigcity",1,18,1.9,1,240,2,0,1
"0",0,64,"Retired","town",1,13,2.3,2,90,3,1,2
"1",0,15,"Education","village",3,8,1.8,1,120,1,0,1
"0",0,49,"PaidWork","town",3,12,2.3,2,150,2,0,2
"0",0,30,"PaidWork","village",2,12,2.1,2,180,2,0,1
"0",1,61,"PaidWork","town",1,11,1.6,1,30,1,0,2
"0",0,76,"Retired","village",2,8,2.3,2,60,1,0,2
"0",0,53,"PaidWork","village",2,13,2.1,1,120,2,0,1
"0",0,30,"PaidWork","bigcity",2,9,1.9,1,210,2,0,2
"0",0,76,"Retired","bigcity",1,12,2.1,2,60,2,0,2
"1",1,29,"PaidWork","suburb",1,12,2.2,1,135,2,0,2
"1",0,72,"Retired","countryside",1,10,1.3,4,0,2,1,1
"0",1,58,"PaidWork","town",1,13,1.2,2,0,2,0,2
"0",0,63,"Retired","town",2,9,0.7,2,90,4,1,1
"0",1,18,"PaidWork","village",3,9,2.2,2,120,2,0,2
"0",1,57,"PaidWork","village",2,14,1.2,2,135,2,0,1
"0",0,59,"PaidWork","village",4,12,2.5,1,0,1,0,1
"0",0,81,"Housework","village",2,9,2.3,2,0,1,0,2
"0",0,47,"PaidWork","town",3,13,2.3,2,270,2,0,3
"0",0,60,"Retired","village",1,10,2.3,2,60,2,1,2
"1",1,67,"Retired","village",1,14,1.1,3,150,2,1,1
"1",1,72,"Retired","bigcity",1,14,1,3,240,2,1,2
"0",0,42,"PaidWork","bigcity",2,12,2.6,1,180,1,0,1
"0",1,76,"Retired","village",2,8,1.6,4,0,1,0,2
"1",1,54,"PaidWork","town",4,25,1.6,1,300,1,0,1
"0",0,64,"Retired","village",3,11,1.5,1,90,1,0,2
"0",0,35,"PaidWork","bigcity",3,20,2.4,1,660,2,0,1
"0",0,65,"Retired","village",1,11,2,2,120,2,0,2
"1",1,47,"PaidWork","bigcity",1,16,2.3,2,120,3,0,2
"1",0,71,"Retired","countryside",2,9,2.1,3,0,2,1,2
"1",1,43,"PaidWork","bigcity",1,16,2.2,2,120,2,0,1
"0",1,74,"Retired","village",2,14,1.8,3,60,1,1,2
"0",1,56,"PaidWork","countryside",2,12,1.4,3,30,2,1,1
"0",1,40,"PaidWork","village",2,12,1.3,1,240,2,0,2
"0",0,64,"Retired","village",1,9,2,2,0,2,0,2
"0",1,48,"PaidWork","village",3,13,1.5,2,120,1,0,1
"0",0,70,"Retired","town",2,12,2.2,2,0,2,1,2
"0",0,22,"PaidWork","bigcity",1,15,2.4,1,300,1,0,1
"0",1,60,"PaidWork","town",1,15,1.8,2,240,1,0,1
"0",0,54,"PaidWork","bigcity",2,9,1.5,1,60,2,0,2
"1",0,73,"Retired","bigcity",2,12,2,1,15,3,0,2
